parameter,type,cpp_type,value,description
abstol,float,OT_DOUBLE,,Absolute tolerance for the IVP solution
always_recalculate_jacobian,bool,OT_BOOL,,"Recalculate Jacobian before factorizations, even if Jacobian is current [default: true]"
disable_internal_warnings,bool,OT_BOOL,,Disable SUNDIALS internal warning messages
fsens_all_at_once,bool,OT_BOOL,,Calculate all right hand sides of the sensitivity equations at once
fsens_err_con,bool,OT_BOOL,,include the forward sensitivities in all error controls
interpolation_type,str,OT_STRING,,Type of interpolation for the adjoint sensitivities
linear_multistep_method,str,OT_STRING,,Integrator scheme: BDF|adams
linear_solver,str,OT_STRING,,A custom linear solver creator function [default: qr]
linear_solver_options,dict,OT_DICT,,Options to be passed to the linear solver
max_krylov,int,OT_INT,,Maximum Krylov subspace size
max_multistep_order,int,OT_INT,,Maximum order for the (variable-order) multistep method
max_num_steps,int,OT_INT,,Maximum number of integrator steps
max_order,float,OT_DOUBLE,,Maximum order
max_step_size,float,OT_DOUBLE,,Max step size [default: 0/inf]
min_step_size,float,OT_DOUBLE,,Min step size [default: 0/0.0]
newton_scheme,str,OT_STRING,,Linear solver scheme in the Newton method: DIRECT|gmres|bcgstab|tfqmr
nonlin_conv_coeff,float,OT_DOUBLE,,Coefficient in the nonlinear convergence test
nonlinear_solver_iteration,str,OT_STRING,,Nonlinear solver type: NEWTON|functional
quad_err_con,bool,OT_BOOL,,Should the quadratures affect the step size control
reltol,float,OT_DOUBLE,,Relative tolerance for the IVP solution
scale_abstol,bool,OT_BOOL,,Scale absolute tolerance by nominal value
second_order_correction,bool,OT_BOOL,,Second order correction in the augmented system Jacobian [true]
sensitivity_method,str,OT_STRING,,Sensitivity method: SIMULTANEOUS|staggered
step0,float,OT_DOUBLE,,initial step size [default: 0/estimated]
steps_per_checkpoint,int,OT_INT,,Number of steps between two consecutive checkpoints
stop_at_end,bool,OT_BOOL,,[DEPRECATED] Stop the integrator at the end of the interval
use_preconditioner,bool,OT_BOOL,,Precondition the iterative solver [default: true]
